#Eddynet/DM CSV Export File,,,,,,,,,,,,,,,,,,
#Created: 10/29/2016 07:52:08,,,,,,,,,,,,,,,,,,
#Analysis Group: resolution,,,,,,,,,,,,,,,,,,
#Outage Type: NONE,,,,,,,,,,,,,,,,,,
#Name: ,,,,,,,,,,,,,,,,,,
#Inspection Date: 12/31/1969 19:00:00,,,,,,,,,,,,,,,,,,
#Re-Start Date: 12/31/1969 19:00:00,,,,,,,,,,,,,,,,,,
#Service Days Since Last Inspection: 0,,,,,,,,,,,,,,,,,,
#Comment: ,,,,,,,,,,,,,,,,,,
#ENC1,ENC2,V,PHA,IND,CH,LMF,INF,INT,Extent,UT1,UT2,ANA,GRP,CG,LEG,PC,PRB_SN
1,2,0.68,92,MBM,126,TSC,10.03,,BPCTEC,HR,,C9309,resolution,SG1BCCAL00002,C,720XP,0
1,2,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,0
1,2,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,0
1,2,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,0
1,2,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,0
1,3,,,,,,,,07CTEC,,,J5670,auto,SG1BCCAL00024,C,720UC,0
1,3,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,0
1,3,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,0
1,3,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,0
1,3,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,0
1,4,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,0
1,4,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,0
1,4,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,0
1,4,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,0
1,4,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,0
1,5,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,0
1,5,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,0
