	#Master Report ASCII Export File
        #	PLANT:		Surry
        #	UNIT: 		1
        #	SG: 		1B
        #	DATABASE:	SURRY_1R27_SGB  DATE: OCT. 29,2016  7:56 

#FORMAT: ROW,COL,VOLTS,DEG,PCT,CHN,LOCATION,ELEV_FROM,ELEV_TO,EXTENT,UTIL 1,UTIL 2,NAME,TYPE,CAL,LEG,PROBE,S/N #
   1,  2,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1,  2,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00012,C,720UC,666101
   1,  2,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1,  2,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1,  2,0.68,92,MBM,126,TSC,10.03,,BPCTEC,HR,,C9309,resolution,SG1BCCAL00002,C,720XP,708350
   1,  3,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1,  3,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1,  3,,,,,,,,07CTEC,,,J5670,auto,SG1BCCAL00024,C,720UC,659856
   1,  3,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1,  3,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1,  4,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1,  4,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1,  4,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1,  4,,,,,,,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1,  4,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1,  5,,,,,,,,07HTEH,,,W9098,auto,SG1BHCAL00018,H,720HS,707230
   1,  5,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00019,H,720XP,690861
   1,  5,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00020,C,6801P,659851
   1,  5,,,,,,,,BPCTEC,,,W6070,auto,SG1BCCAL00001,C,720XP,690861
   1,  5,4.00,90,MBH,6,05C,22.92,,07CTEC,,,W6070,auto,SG1BCCAL00011,C,720UC,659855
   1,  6,,,,,,,,BPHTEH,,,S7752,auto,SG1BHCAL00020,H,720XP,708350
   1,  6,,,,,,,,07C07H,,,J5670,primary,SG1BCCAL00021,C,6801P,669070
   1,  6,,,,,,,,BPCTEC,,,S7752,auto,SG1BCCAL00002,C,720XP,708350
   1,  6,2.57,5,BLG,1,06H,38.60,,07HTEH,HR,,W9098,auto,SG1BHCAL00017,H,720HS,707232
